Id,nom
300,R897 Test à la myélopéroxydase
301,"R898 Test de O'Sullivan (Glycémie à T0, T60 et T120)"
302,R899 Transferrine (Siderophylline)
303,R8100 Troponine Ultrasensible
304,R8104 Bêta 2-microglobuline
305,R8105 Folates plasmatiques (Vit.B9)
306,R8107 Haptoglobine
307,R8108 Orosomucoïde
308,R8109 Préalbumine
309,R8110 Protéine de Bence Jones
310,R8112 Troponine I
311,R8113 Vitamine B12 plasmatique
312,Hormones
313,R810 Tri-iodothyronine (T3)
314,R811 Thyroxine (T4)
315,R812 TSH (Thyréostimuline)
316,R813 Prolactine
317,R814 FSH
318,R815 LH
319,R816 Testostérone
320,R817 Œstrogènes
321,R818 Progestérone
322,R819 Estradiol (libre)
323,R864 Hormone STH
324,R865 Cortisol
325,Substrats et métabolites
326,R820 Acide urique
327,R821 Bilirubine totale et directe
328,R822 Glucose (glycémie capillaire)
329,R823 Glucose (glycémie veineuse)
330,R824 Hémoglobine glyquée
331,R825 Cholestérol total
332,R826 Triglycérides
333,R827 Fractions du cholestérol HDL
334,R866 Fractions du cholestérol LDL
335,"R878 Bilan lipidique (Cholestérol total, LDL, GGT, TG)"
336,R828 CRP quantitative
337,R829 Electrophorèse des protéines
338,R830 Urée
339,R831 Créatinine
340,R832 Urée glycémie créatininémie
341,R833 Protidémie
342,R834 Albuminémie
343,R869 Immunoélectrophorèse
344,R870 Immunodiffusion
345,R712 D-Dimères
346,ELECTROLYTES ET OLIGO-ELEMENTS
347,R835 Calcémie
348,R836 Magnésémie
349,R837 Calcémie - Magnésémie
350,R838 Ionogramme sanguin (Na+ + K+ + Cl-)
351,"R839 Dosage isolé d'un ion (K+, Na+, Cl-, HCO3-, Ca2+, Mg+)"
352,"R840 Potassium, sodium, chlore,"
353,R841 Phosphore
354,R842 Fer
355,R843 Capacité totale de fixation de la Sidérophiline
356,R844 Gaz du sang
357,"R845 pO2, pCO2, CO2 total, pH, bicarbonates"
358,MARQUEURS TUMORAUX
359,R846 AFP
360,R847 PSA
361,R848 CK - MB
362,R879 ACE (Antigène Carcino-Embryonnaire)
363,R880 ACTH
364,R881 CA 125
365,R882 CA 15.3
366,R883 CA 19.9
367,BIOCHIMIE (Urines)
368,Electrolytes
369,"R850 Potassium, sodium, chlore, Ca, Mg, pH (H+)"
370,R851 Dosage d'un ion isolé
371,"R853 Recherche qualitative ( par élément): Glucose, protéines, acétone, pigments"
372,R854 Protéinurie des 24 heures
373,R855 Analyse des calculs urinaires
374,R856 Electrophorèse des protéines urinaires
375,R857 Test de grossesse (βHCG) ( bandelettes)
376,R868 Dosage quantitatif βHCG
377,R884 Calciurie
378,R887 Cortisol libre urinaire (Cortisolurie)
379,R894 Microalbuminurie
380,R895 Microalbuminurie d'une miction
381,R8101 Amylasurie
382,R8102 Créatininurie
383,R8103 Phosphaturie
384,R8106 Glucosurie des 24 heures
385,BIOCHIMIE (liquides de ponction)
386,R858 Glucorachie
387,R859 Protéinorachie
388,R860 Chlorurorachie
389,R861 Chimie LCR
390,R862 Test de Rivalta
391,BACTERIOLOGIE VIROLOGIE
392,BACTERIOLOGIE
393,Examen des expectorations (crachats)
394,R900 Crachat : BAAR
395,Cultures bactériologiques
396,R901 Hémoculture
397,R902 Spermoculture
398,R903 Coproculture
399,R904 ECBU + ATBG
400,R905 PUS + ATBG
401,R906 PV +ATBG
402,R907 PU+ ATBG
403,R908 CU + ATBG
404,Etude de la sensibilité aux antibiotiques
405,Examens spécialisés
406,R916 Recherche rapide d’antigenes bacteriens solubles dans le LCR
407,R917 Recherche rapide d’antigenes bacteriens solubles dans les autres produits pathologiques
408,R918 Culot urinaire
409,R919 Hématie-Leucocyte-Minute (HLM) ou Compte d’Addis
